,real_inflation,month,real_consumption,model_inflation,model_consumption
0,0.62,0,,0,
1,0.13,1,,0.0852943879303248,
2,0.22,2,,0.0626256236589739,
3,0.42,3,118332,0.0765612838196267,
4,0.01,4,,0.0988051875374872,
5,0.23,5,,0.121259698365114,
6,1.61,6,121842,0.142823353159067,
7,1.31,7,,0.165713921320576,
8,0.23,8,,0.189486731871393,
9,0.14,9,125793,0.211708903694999,
10,0.32,10,,0.234506833046199,
11,0.59,11,,0.256576080279995,6810.21610756934
12,0.57,12,130011,0.279250271469488,
13,0.46,13,,0.302501253574744,
14,0.38,14,,0.32484585518263,
15,0.58,15,123094,0.347142599008522,
16,0.41,16,,0.369719799606525,
17,0.52,17,,0.392720544083272,
18,1.33,18,125609,0.416590118800978,
19,0.7,19,,0.438231812545993,
20,0.28,20,,0.461901690116684,
21,0.83,21,123497,0.483584926553298,
22,0.71,22,,0.506379859235167,
23,0.65,23,,0.529457692307555,18057.6713970123
24,0.52,24,127605,0.551613456544836,
25,0.36,25,,0.573935600585516,
26,0.6,26,,0.597168830041069,
27,0.8,27,123388,0.619444472426903,
28,0.21,28,,0.642471924357745,
29,0.42,29,,0.665691007269217,
30,1.19,30,126482,0.687452605679554,
31,0.65,31,,0.710818785849316,
32,0.72,32,,0.733168311493605,
33,1.31,33,126845,0.756756262156993,
34,3.02,34,,0.779893679823601,
35,2.1,35,,0.802292478200734,34583.2582261018
36,2.25,36,129682,0.824213498019357,
37,1.57,37,,0.84705219503578,
38,1.23,38,,0.868746348475639,
39,0.97,39,123366,0.891590936275607,
40,0.61,40,,0.914404294288897,
41,-0.15,41,,0.937757410804234,
42,0.2,42,123902,0.961038451551282,
43,0.34,43,,0.983311867785143,
44,0.78,44,,1.00592525236882,
45,0.29,45,125917,1.02876066222068,
46,0.34,46,,1.05139501839028,
47,0.52,47,,1.07426635122769,53273.6517589908
48,0.76,48,130447,1.09662111835141,
49,0.61,49,,1.11947073722129,
50,0.47,50,,1.14220874380615,
51,0.37,51,124485,1.1652899336056,
52,0.51,52,,1.18767637351848,
53,0.71,53,,1.20993696303867,
54,0.91,54,127754,1.23257854365016,
55,0.69,55,,1.25572818465116,
56,0.33,56,,1.27837581939406,
57,0.44,57,132070,1.30155583897401,
58,0.69,58,,1.32371535454772,
59,0.86,59,,1.34635371274951,74238.1900050793
60,0.58,60,139083,1.36886581117379,
61,0.59,61,,1.39234390597613,
62,0.61,62,,1.41396536696043,
63,0.87,63,131105,1.43719096686688,
64,0.49,64,,1.46027287480346,
65,-0.02,65,,1.48323735248276,
66,0.25,66,133875,1.50528067793686,
67,0.17,67,,1.52835969129222,
68,0.35,68,,1.5511964402648,
69,0.75,69,137862,1.57365976688326,
70,0.55,70,,1.5964965369954,
71,0.36,71,,1.61900964570966,96039.8882776329
72,0.59,72,143694,1.64172363871633,
73,0.41,73,,1.66469717342118,
74,0.43,74,,1.68739836031763,
75,0.21,75,137566,1.70998578189788,
76,0.1,76,,1.73255630166687,
77,-0.21,77,,1.75517293381112,
78,0.19,78,141634,1.77830961585219,
79,0.05,79,,1.80027214149052,
80,0.21,80,,1.82317883586734,
81,0.33,81,145156,1.84593434488385,
82,0.31,82,,1.86861981172329,
83,0.48,83,,1.89170409371554,117482.363076584
84,0.44,84,151063,1.91440829245658,
85,0.44,85,,1.93635008387248,
86,0.37,86,,1.9596654657211,
87,0.25,87,146309,1.98211355159709,
88,0.28,88,,2.00492535698097,
89,0.28,89,,2.02776261129646,
90,0.24,90,150377,2.05055144446505,
91,0.47,91,,2.07353765544602,
92,0.18,92,,2.09602274153421,
93,0.3,93,153564,2.11882733571505,
94,0.38,94,,2.14149688504162,
95,0.74,95,,2.16386675345841,140046.021469241
96,0.54,96,161859,2.18693182184719,
97,0.49,97,,2.20948229052776,
98,0.48,98,,2.23185320174256,
99,0.55,99,156784,2.25467453875363,
100,0.79,100,,2.27737235195872,
101,0.74,101,,2.3002520722479,
102,0.53,102,160956,2.32309175309228,
103,0.28,103,,2.34536370582881,
104,0.26,104,,2.36858735400664,
105,0.45,105,166399,2.39154911787368,
106,0.36,106,,2.41387211497034,
107,0.28,107,,2.43662519960062,164014.695946346
108,0.48,108,167538,2.45894567421616,
109,0.55,109,,2.48148313687226,
110,0.2,110,,2.50438817482805,
111,0.48,111,160348,2.52700975600323,
112,0.47,112,,2.55017809383515,
113,0.36,113,,2.57238493714849,
114,0.24,114,167339,2.59488812108808,
115,0.15,115,,2.6181550968615,
116,0.24,116,,2.64074529240621,
