real_inflation;month;real_fam_consumption;model_price_index;model_gdp_index;model_gdp_growth;model_avg_workers;model_fam_wealth;model_fam_savings;model_firms_wealth;model_firms_profit;model_gini;model_fam_consumption;model_inflation;real_gdp_region;real_fpm;real_qli_index;real_pop;real_unemployment;real_transaction;real_treasure;real_property;model_gdp_region;model_fpm;model_property;model_consumption;model_treasure;model_transaction;model_qli_index;model_pop;model_unemployment;model_labor;model_firm;real_prop_fpm_gdp;real_prop_property_gdp;real_prop_treasure_gdp;real_prop_transaction_gdp;model_prop_fpm_gdp;model_prop_property_gdp;model_prop_treasure_gdp;model_prop_transaction_gdp;model_prop_consumption_gdp;model_prop_firm_gdp;model_prop_labor_gdp;real_prop_property_total;real_prop_transaction_total;real_prop_fpm_total;model_prop_labor_total;model_prop_firm_total;model_prop_consumption_total;model_prop_property_total;model_prop_transaction_total;model_prop_fpm_total
0.62;0;;1.15;174.6565;100.0;43.286500000000004;9855.881000000001;1039768.7255;2891219.9425;174.5795;0.016;1.016;0.0;;;;;;;;;10.006;0.004606;0.006447999999999999;0.0039024999999999997;0.018930000000000002;0.0017285;0.6353199999999999;1538.0;5.914;0.0012995;0.004403000000000001;;;;;0.0004066815523241694;0.0005513116720274765;0.0016570292354034176;0.00013626508182040218;0.00039000030110497943;0.00044;0.0001298843345944789;;;;0.07838101721965582;0.265532901713185;0.23535903260511934;0.33619070458807565;0.08151508785332313;0.22605349541252484
0.13;1;;1.236;109.088;-56.7915;42.9605;10071.365;1039356.6755;2891224.2645;-62.4965;0.021;1.025;0.0742;;;;;;;;;5.8865;0.005319;0.013965499999999999;0.0064895;0.03178;0.003735;0.63272;1639.5;7.0721;0.002105;0.004784;;;;;0.0007895864636823199;0.0020580009486595953;0.004838832088831227;0.00047590559022594195;0.0010485785222794529;0.0007598350913310132;0.00034237088256306076;;;;0.07490816390063022;0.17342153200160548;0.22954501240720027;0.41412343153888453;0.09970966596829088;0.15364938384268356
0.22;2;;1.294;114.2825;-4.8515;42.795;10887.675;1039354.8529999999;2891229.3460000004;1.4609999999999999;0.026000000000000002;1.033;0.04675;;;;;;;;;5.9455;0.006745000000000001;0.0210125;0.009002;0.046095;0.005756;0.632455;1643.0;7.7307500000000005;0.002864;0.0061845;;;;;0.0010236659845304864;0.0030863610256530527;0.006937122962881928;0.0007583940087372582;0.001508576596452687;0.0009997163675919847;0.00048618442990538524;;;;0.07016868399904713;0.15035998261089062;0.21820660730777047;0.4411614823635995;0.10677120435140389;0.1385083023350389
0.42;3;118332.0;1.345;133.26;17.8785;42.7855;10291.32;1038377.8615;2891235.7369999997;31.226;0.033;1.042;0.040999999999999995;;;;;;;;;7.415;0.008926;0.027877;0.0119615;0.061590000000000006;0.0075390000000000006;0.632805;1638.0;7.8267500000000005;0.003811;0.008337;;;;;0.0011008761745960722;0.0033716787972062354;0.0074646858136389;0.0008237475595787892;0.0016601918458899593;0.0010850120640157439;0.0005287276600328903;;;;0.0691492582025803;0.14882971520886418;0.21694983737518594;0.4482738386927692;0.10580321905889167;0.138100814581531
0.01;4;;1.4035000000000002;184.589;24.0135;43.0445;10886.733;1037245.802;2891244.3285;55.591499999999996;0.043;1.055;0.0402;;;;;;;;;9.667000000000002;0.011998;0.0349035;0.015270500000000001;0.077845;0.009227;0.63313;1637.5;7.6433;0.004824999999999999;0.010882;;;;;0.0011291720966607776;0.0033430880044393436;0.007654359682330903;0.0007995467631217632;0.0017105691347994037;0.0011698612056853933;0.0005405966542492848;;;;0.07029359825973165;0.16078463694871087;0.22238637688282314;0.44004314214722656;0.10275403067095448;0.1469894854943281
0.23;5;;1.4575;219.66449999999998;20.1315;43.267;10799.877;1038593.5754999999;2891253.8865;61.1045;0.055;1.072;0.0442;;;;;;;;;11.956500000000002;0.016236;0.0419605;0.019701999999999997;0.09756000000000001;0.0109305;0.63264;1637.0;7.3048;0.006216;0.0144205;;;;;0.0012347076539644514;0.003294177576340524;0.007536923500181502;0.0007429611573456472;0.0017839364079319914;0.0012623653593207245;0.0005600753288090239;;;;0.07168193961425905;0.17158163975754476;0.22845226136641306;0.42375622530010837;0.0971064767782868;0.15688182692364705
1.61;6;121842.0;1.5294999999999999;246.993;14.1665;43.5045;10625.607;1038416.0789999999;2891266.2035;53.376000000000005;0.067;1.091;0.04575;;;;;;;;;14.67;0.020812499999999998;0.0490115;0.025379;0.11818;0.012663;0.63366;1629.5;6.83115;0.007975;0.0190025;;;;;0.0012744012034859998;0.00302495583284498;0.00740934678375735;0.0007025085288278258;0.0018632229868128605;0.0013523566760737528;0.0005844111069645782;;;;0.0752341755297008;0.18388904405079537;0.23961404648593335;0.40442523830117527;0.09244149662649154;0.170131886140357
1.31;7;;1.61;265.2335;5.9625;43.672000000000004;11018.1975;1037681.733;2891279.196;35.930499999999995;0.079;1.11;0.052000000000000005;;;;;;;;;14.78;0.026292999999999997;0.0561145;0.0314035;0.14314;0.014189999999999998;0.633375;1624.0;6.738049999999999;0.009831;0.023822;;;;;0.0014145471331258696;0.003106057579354092;0.008163403777341604;0.0006987603509649797;0.0021035116559956655;0.0015495533379736143;0.0006605801586674723;;;;0.07875386590732146;0.1931479659020029;0.2505925181291095;0.3875709522527506;0.0877993204891632;0.17573823428504132
0.23;8;;1.6935;275.63599999999997;4.397;43.7665;10880.199;1037835.87;2891291.1615000004;34.876000000000005;0.091;1.1305;0.0511;;;;;;;;;17.430500000000002;0.031754;0.0634075;0.037918999999999994;0.16605;0.015827499999999998;0.63338;1634.0;6.735099999999999;0.011875;0.028634;;;;;0.0016312070697770192;0.003363008005161815;0.009024691054332484;0.0007735638164442611;0.002436180896051148;0.0017797091460790221;0.0007663389077508065;;;;0.08132240980478575;0.20068536181265126;0.2592388472659382;0.3726192031237072;0.08407435566477958;0.18045040581468885
0.14;9;125793.0;1.7734999999999999;296.2185;3.0395;43.8485;10504.3335;1037597.3815000001;2891304.7225;32.065;0.101;1.1515;0.0495;;;;;;;;;18.1;0.036798000000000004;0.070493;0.045094;0.1858;0.017242;0.63493;1627.0;6.7251;0.013971;0.035917000000000004;;;;;0.0019183721111197575;0.00364943032427695;0.01001622363659054;0.0008107409713574099;0.002791624857850023;0.0020167464114832535;0.0008724730402664644;;;;0.08383125113163135;0.20601377199693952;0.267237628466405;0.3602817478040792;0.08041579315164221;0.18171474682267502
