cod;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
1100015;111291;143222;173991;167127;168805;191364;248962;256986;262077;280510;329029;341325;379060
1100023;449593;539636;657193;749021;790697;905203;1064822;1133095;1364694;1651885;1703642;1799853;1967587
1100031;31768;40985;43392;49130;46884;49166;60588;69776;69611;77217;99586;96365;113031
1100049;474443;622437;622415;758960;743194;814890;928699;985479;1186494;1259024;1372705;1433254;1695900
1100056;79174;99983;121366;129107;124415;143270;167474;190902;222021;260142;357333;353270;326766
1100064;87254;103363;114815;126534;126670;137899;157026;174168;193093;206425;222071;242767;275185
1100072;45165;57284;67309;70936;68935;72291;95990;119226;114768;145412;175872;168681;188218
1100080;37308;50996;53905;62986;60812;74215;90971;99854;107583;120018;134091;149739;171878
1100098;119312;153425;180676;203257;195271;220452;265616;291491;311788;347581;376177;426546;498358
1100106;174680;247248;302287;327643;325665;374116;491320;521104;598167;715386;516172;605131;667539
1100114;306158;385507;420126;569682;614008;693762;708837;722047;797296;861623;1004964;1070429;1131276
1100122;657400;774035;933474;1066022;1110409;1257350;1496176;1640344;1855359;2056220;2318729;2374801;2684653
1100130;83828;129476;156743;186678;167421;183666;234494;254438;272201;301792;353071;396658;432406
1100148;65740;89821;90569;109279;108175;139569;167221;164381;173651;188992;215982;230676;251677
1100155;191704;243121;264994;289682;289192;319107;400931;399690;477501;507790;527990;556443;609268
1100189;180337;227004;264273;308139;311876;336934;419978;471876;540862;602732;687732;755542;852455
1100205;2325673;2765054;3388128;3801042;4093384;4474812;5267602;6841953;9093824;11139255;11970877;11699707;12609918
1100254;93482;117213;130513;146979;151891;159520;196550;216194;235589;250510;278269;292636;337608
1100262;15549;21179;22353;24700;27237;28672;37220;40075;41934;48230;56106;63732;76854
1100288;231270;288223;334869;388188;407840;466023;590513;570998;627848;756305;845500;926089;1015124
1100296;46045;56920;58189;62508;65969;69961;85683;89832;98818;109366;122449;125662;135934
1100304;448260;586621;697750;802054;816425;916061;1148345;1244988;1447187;1491477;1797976;2011515;2168426
1100320;73737;108375;127354;137040;147255;158873;192747;234784;324476;311271;333933;395408;434497
1100338;51341;69357;92732;113906;116144;134075;164807;183340;218431;249369;277775;308322;335448
1100346;66869;87455;97391;105142;107851;107459;127593;146945;160689;174574;184427;191138;204098
1100379;46139;60615;69091;76379;83329;90566;109773;123305;119974;135691;207365;183210;213410
1100403;45060;69211;75144;81283;88368;107258;132015;146985;152235;176664;205906;214064;235981
1100452;97946;137840;161804;193934;201021;225142;270880;290764;336265;380852;403805;427488;481266
1100502;46575;69626;69497;74462;71335;69106;84764;91843;95420;100846;104873;113700;129399
1100601;27707;38298;40031;43479;44557;49655;62609;66827;76701;84262;90742;99011;116635
1100700;34793;46229;53262;61276;70259;67676;90328;98734;120440;150582;156228;181408;208821
1100809;61407;71276;93368;102722;110797;120362;138875;166595;228321;253982;267393;280360;324943
1100908;18453;24537;25834;28341;27916;28981;35845;36778;39936;44579;46868;53263;59779
1100924;37622;53818;65399;72246;77157;92199;120566;126926;165716;179981;238955;225345;190331
1100940;33917;41085;48781;58407;58711;82708;108397;126006;210218;218790;221003;249223;248243
1101005;43979;62246;70768;79524;86654;82944;95028;94025;111130;112253;118735;140140;148027
1101104;37463;42517;47321;53835;72992;64746;77624;79554;90690;117104;128141;139589;129351
1101203;37732;52108;53368;56162;55796;67101;86018;86288;99692;116881;124807;146641;174633
1101302;45239;63203;68871;72023;74791;81541;98424;103671;114869;119478;130632;134517;163955
1101401;49520;66006;79488;83709;98361;96250;111323;120497;143417;176274;181390;205600;219152
1101435;28852;40427;41278;44191;48789;49455;58312;62956;70739;76050;85014;86792;92346
1101450;15886;21893;22876;24678;26628;31809;39928;43204;49986;56027;61508;71097;80759
1101468;14809;21182;23158;23939;26912;29134;37347;40422;43812;53250;80775;77664;76756
1101476;18167;25260;23638;21113;23165;25562;31804;32641;35105;38302;43790;47727;52908
1101484;23124;30784;34179;37594;40951;44705;54757;55940;58727;61616;67923;70826;72084
1101492;49113;70765;86683;95814;100399;107923;135322;156875;173610;200906;223069;245948;272826
1101500;39708;62860;68072;72914;75032;76674;91524;98812;117281;134333;141930;157939;169429
1101559;20170;28647;30438;31487;32294;34054;41414;44347;50001;56623;63277;67681;72089
1101609;40171;56753;58647;67655;71517;72277;92540;93931;105535;104328;125796;128042;140601
1101708;47558;67027;75804;82257;82955;83114;105172;111032;121359;129845;128811;150563;172143
1101757;24444;36890;45244;56445;55192;60872;79440;81947;91480;89772;105600;99751;105208
1101807;34692;55970;55792;60209;62414;67854;85349;80138;89263;92336;95927;108134;116742
1200013;39622;49216;59175;64688;70531;77840;88512;94180;121915;142761;162199;214652;204878
1200054;12789;14615;17655;21730;23897;27928;33614;35412;42017;46581;52805;64602;72613
1200104;72997;86058;84638;93666;98895;115290;135316;159564;190699;203479;238704;294874;341512
1200138;26743;35776;37349;48281;49392;52408;58876;61525;86265;102702;107914;120210;129281
1200179;32492;39317;44898;49156;55225;63085;62790;73183;108531;116149;129649;158800;149441
1200203;262002;292422;324891;370047;400265;490308;598083;681822;771040;758483;838657;969784;1153034
1200252;53797;63961;74137;82175;88121;106140;128588;134228;144997;159664;185761;268087;256048
1200302;72819;85351;96864;113396;126198;127550;145960;172904;200521;205065;224521;267203;310266
1200328;14549;16801;16035;19384;22421;29461;35573;38247;41234;45671;52136;58271;69166
1200336;31111;37374;36445;42196;47814;56848;67172;80406;95419;104768;121766;150136;188314
1200344;19936;23897;24246;25763;29299;33642;43863;50075;55803;59548;66179;80018;94961
1200351;26714;31868;31589;36659;39493;58814;69574;84039;96005;94956;119709;146339;162963
1200385;54088;62829;68906;83038;76160;90373;107307;119378;132633;152724;178793;199657;237312
1200393;16533;19565;17920;19706;22804;33937;41812;47912;60318;60554;67807;82060;92300
1200401;1840093;2047971;2377292;2696961;2936363;3406220;3988385;4681268;5125851;5516687;6270619;6807581;8192366
1200427;26749;31424;32610;39158;42592;55399;65175;80759;124221;114058;109581;152053;166481
1200435;9012;11411;12231;15598;17222;22651;28788;30990;35855;35164;37657;45136;51464
1200450;72770;87695;95070;105492;119478;141266;152766;163787;184620;228063;256395;290838;326351
1200500;125410;145707;126488;140201;141962;163532;205498;225593;264528;282261;333671;426881;478484
1200609;78553;89296;100169;118968;126866;149597;176203;193953;227963;264412;292548;335520;388110
1200708;42070;55372;57394;62366;66514;82251;86555;96912;117260;130867;147390;168708;197162
1200807;40455;49309;47999;51953;60294;73632;89846;101684;114661;124816;143464;172519;196190
1300029;30812;31030;32142;34593;41015;45151;48675;49584;58365;81418;78121;90875;107049
1300060;12273;13675;15319;16976;20294;23399;27894;29500;36941;47891;51061;59861;62808
1300086;17877;19131;20538;19460;23551;29780;48130;47993;51913;71971;67764;84387;85863
1300102;26340;26967;29177;29959;35862;40559;51885;56943;64424;180211;137499;153867;166958
1300144;38007;42609;51888;57342;81706;73073;102637;91193;104518;129519;136498;157858;187791
1300201;20205;21595;21852;24407;28991;36784;43654;49616;68896;78879;84683;95743;124961
1300300;76039;83112;93773;85256;96788;96630;99638;109369;154785;173295;177215;197961;230288
1300409;34279;42113;48313;54046;68272;65897;72054;74518;93663;113866;121659;134364;147306
1300508;42638;44625;49308;55128;77540;74522;85630;97120;117983;136698;158179;196999;208755
1300607;57998;61607;71803;71757;77148;88339;99144;110779;137141;170816;182718;236931;263084
1300631;23694;26325;28561;30776;35478;40791;43560;54381;74008;88594;88502;107968;120071
1300680;17068;19695;21744;27945;31626;32412;60824;66987;55076;69953;82357;100001;97229
1300706;59575;75733;87539;105057;117492;117639;125583;125628;151889;189565;209052;236629;267417
1300805;79903;66270;71896;74003;87129;88509;100248;110687;156532;212851;212496;236239;250454
1300839;35090;27914;29346;31566;36762;42114;44360;48983;66861;91814;94805;111291;130505
1300904;17773;18634;21200;24059;31590;43589;40008;40741;49394;64005;70361;81427;87460
1301001;75825;71798;73245;76203;89415;89062;97770;108390;129697;169945;161914;214486;227261
1301100;66630;70375;67763;63630;74157;88773;94912;110566;143727;164045;171485;193802;210281
1301159;160412;163506;63423;150752;103909;125513;103169;111867;188023;240114;202958;234401;242961
1301209;867190;1025923;1254629;1550648;1929651;1838036;2224643;1536068;1998793;3284130;4207961;4558712;3096593
1301308;62901;47249;48936;52760;81530;84208;85222;82985;120603;484044;446417;492322;651971
1301407;59045;59180;62218;85305;110937;87343;104480;125231;151777;196566;282975;340332;377238
1301506;29073;33834;31110;36300;40717;46675;55309;58939;71690;87440;113710;116857;124237
1301605;66630;69977;71222;73506;86996;71916;77112;79687;95662;116023;122127;132637;150577
1301654;26050;27219;27194;29210;34086;40540;46916;49026;51646;63044;77468;92709;100789
1301704;63209;74487;88471;102526;112992;136975;150044;178078;217550;288715;307585;367181;411365
1301803;24117;26487;28768;33231;42097;41618;50770;55894;69654;76808;84610;106738;112792
1301852;107620;115480;116577;133741;148409;170675;181485;213322;306446;382724;382669;481446;527964
1301902;253402;273672;453744;434860;481188;576409;616318;736420;849637;1123370;1310792;1440639;1508254
1301951;17240;18704;18104;20602;23612;25493;28452;29854;42985;53569;57651;73384;73107
