acp;model_consumption;model_firm;model_fpm;model_gdp_region;model_labor;model_prop_consumption_gdp;model_prop_consumption_total;model_prop_firm_gdp;model_prop_firm_total;model_prop_fpm_gdp;model_prop_fpm_total;model_prop_labor_gdp;model_prop_labor_total;model_prop_property_gdp;model_prop_property_total;model_prop_transaction_gdp;model_prop_transaction_gdpreal_prop_fpm_gdp;model_prop_transaction_total;model_prop_treasure_gdp;model_property;model_transaction;model_treasure;real_fpm;real_gdp_region;real_prop_fpm_gdp;real_prop_fpm_total;real_prop_property_gdp;real_prop_property_total;real_prop_transaction_gdp;real_prop_transaction_total;real_prop_treasure_gdp;real_property;real_transaction;real_treasure
ARACAJU;71.16845005820014;31.818101785788745;12.631787641591384;2058.655562890897;21.934171654794998;0.039599657323231605;0.4809888676096514;0.018680541029423355;0.2458335162453741;0.03330475439827287;0.3682602304420475;0.012209175406067769;0.14902924073184315;0.006895821951361587;0.10291439444137628;0.0015826312349826426;;0.02123270382336835;0.07896791539533173;1.3602285350938152;0.21111653214037526;126.49206850764419;28020086.58470588;1888783833.3333333;0.024768377911811117;0.5218651569754297;0.0017878338927878317;0.0465625618475342;0.0007799181115364247;0.007538372789322442;0.08661957513944253;8943020.821683168;3018822.982054795;122446666.37980393
BELEM;233.10414462823184;97.94418030087571;38.98885101000835;6019.118208715596;67.96582864658048;0.03919075176887308;0.5134544082265613;0.017613711677306524;0.25228936523009193;0.020471776738666625;0.2527576340298339;0.011446769084887749;0.15159296363529226;0.002226970888935936;0.06706244203320298;0.0004900636511343952;;0.01560060033080837;0.07096827604828965;4.330184034195163;0.6426925531693077;403.9870302314429;54070867.17435294;4760038307.692307;0.015225707441349956;0.4077086365950941;0.0013035971439753849;0.05734053944414993;0.00036631984915243656;0.004231116821276418;0.07354781156925491;11110038.961463414;2589848.888064516;278479037.22853655
BELO HORIZONTE;92.36671925930195;42.33342483382943;16.904969576983184;2902.2484577690143;29.60258031455573;;0.47302031227802;;0.2586581075639754;;0.4795939309739506;;0.15162246120030035;;0.09678040329626493;;;0.019918922282533016;;2.076678450476261;0.2918422737758595;166.67124513655304;20992286.748948414;3791583200.54945;0.02632504732353905;0.5839157900697546;0.002759151015949681;0.06634155048664699;0.001348104016200273;0.012573972860715474;0.09513040562300196;22163882.256410256;5991578.827741047;208731245.5156504
BRASILIA;163.6327977323885;72.92718707867863;29.22769656356815;4919.274607961652;51.445999682055024;0.02784607792139939;0.4663150786650957;0.013211735230498043;0.2435561157725291;0.05209682108569335;0.8486167535349054;0.008749228506444063;0.14694060180746174;0.00472958327633671;0.11725193297017655;0.0010310350682903792;;0.02593665644229274;0.05556764775356265;3.6015014142350976;0.4976585709670696;292.1051444122552;22061509.85040936;12167509630.76923;0.030957156967352708;0.5129806362124046;0.004197573806673762;0.08074176126098936;0.0019766806704247307;0.01358705445875088;0.12406745320487085;18597528.558145706;1157441.0477391304;391053712.19660133
CAMPINA GRANDE;83.07594028164117;36.25093407406119;14.358885306675939;2285.441135257301;24.85068898852573;0.06105417903977721;0.4884997845261663;0.0267311617776354;0.2332047662110103;0.11214503364992776;0.7279860716832417;0.018262333971406017;0.14696917559783684;0.008360723921958076;0.1085785430573461;0.001799059034711655;;0.02274966502919596;0.11620750805430492;1.4931816679415857;0.2395608515299027;145.91030594228096;19178797.11039216;1507255538.4615386;0.04420494216736493;1.3487830216110617;0.0005419747359758616;0.02690197359481997;0.00033255204351783686;0.003008447339357025;0.12055767385356872;1937252.8072;848646.6344736842;94681668.8696
CAMPINAS;88.62502691187855;40.766798041679074;16.28289726778803;2833.622218442989;28.522127678550163;0.02338460565894149;0.4860235551812788;0.011501900530913451;0.2681862991495084;0.00974596595703652;0.2090476034758963;0.007523723694251177;0.15636744378632364;0.0016045458384991596;0.0757168139894191;0.00026608327132872795;;0.013705929188804868;0.044280859259678326;2.155382646472164;0.2883814237124144;160.35771673042572;18586411.851196583;6296191186.813187;0.00590729986536266;0.17125047796159756;0.004696870348421627;0.1279708616718888;0.0007815927643169404;0.011465126156643395;0.05914081436180048;33790468.09871795;4752995.765561799;298647259.70636755
CAMPO GRANDE;394.33247118514646;178.8465240209205;71.68942170292888;12313.124108786611;126.21484498430964;0.023719856498725187;0.498810581091132;0.011264351602822131;0.2688403494750439;0.004428434440337683;0.10053911400896848;0.007580050372318912;0.15898568739357805;0.0011208671126103908;0.062073804959036666;0.00018508266125504374;;0.011289535649381274;0.04387020846088409;8.590449053347278;1.2152345711297072;709.1995238075315;66884568.69941177;12572453230.76923;0.005928293006038549;0.07729778209787204;0.009404082835844959;0.15279321583858635;0.0015433673079682409;0.014774215469431919;0.09604900230968624;133962283.93470591;15696684.043846153;976106443.2194117
CAMPOS DOS GOYTACAZES;238.89959952405857;106.07038314435148;42.43971057635983;7104.2581778242675;74.52413003138075;0.02578085606937979;0.5099593435117915;0.011848400715285172;0.2662027842589389;0.004674006673414088;0.09996547005240244;0.008040989352618839;0.15918217859967246;0.0009747885795129188;0.0541312548363658;0.00016932139510908504;;0.010524422839469263;0.04681435621372822;4.757002089958159;0.7162807803347281;424.96739571129706;23910861.17823529;37001181769.23077;0.0007338993128076762;0.05599028823320994;0.0004292153638733733;0.049846465642936016;0.00015910031461811532;0.004444706052866347;0.03495686059953779;18902306.57533333;5706597.457272727;1025908269.6960001
CAXIAS DO SUL;92.10610326148223;49.1896909697286;18.47118393475992;3193.928288622129;29.411072580897702;0.020828767087907263;0.4667929308993993;0.011902113690790764;0.290377106579651;0.006979084069835332;0.16215067158369412;0.006647015771833669;0.14887295884863555;0.0017005369716403618;0.08045976999747895;0.00026832521087281696;;0.013497065943740364;0.04134675945028767;2.8312394493736948;0.3823727009394572;173.92047891962414;20314120.49083333;7454061269.230769;0.004886977673798033;0.16039644666982508;0.002190195837769484;0.07580350010872827;0.0012479637624784009;0.01947568422577769;0.05445001805057412;21597696.14558824;9553636.663076924;328593185.56882346
CUIABA;202.42634866544887;92.65693726200416;36.67570529436328;6180.342725991651;63.409870824634645;0.02483931778708562;0.4963201101575738;0.011811134074529805;0.26557498802385826;0.005764882703503173;0.1217975929537548;0.0077769064797194015;0.15547383535830134;0.0013565947996658275;0.06952085128828353;0.00023639433177225917;;0.013110239827789107;0.04602034730443855;4.503070980688936;0.6246545516701459;363.62088230688937;42800086.72176471;7047144576.923077;0.00767514644992013;0.1615490576244799;0.00194788184168666;0.06266513096402042;0.0007900834735835001;0.010176811591418606;0.06452122189775968;22802285.80636364;5581721.433200001;387638864.17545456
