;cod;rec_trib_2013;rec_trib_2014;rec_trib_2015;rec_trib_2016;iptu_2013;iptu_2014;iptu_2015;iptu_2016
0;4126652;499380.25;574630.55;544374.27;771501.43;61414.87;65169.32;66055.7;66740.09
1;4206652;807730.3;1852353.45;1247457.04;764897.05;104185.66;112476.07;142046.44;152626.98
2;4310405;992397.24;964820.52;1162547.38;1304637.14;202995.94;224010.42;234797.31;257951.45
3;4322533;1222517.34;848418.11;951570.67;1313064.84;125912.59;129193.77;135182.48;235484.2
4;4318705;97312135.14;108083477.8;108721019.3;131412577.4;25490836.14;30605490.94;28476735.1;37855035.3
5;2200608;240417.58;379313.45;381211.24;271691.79;2349.56;3403.78;3672.03;5141.64
6;4300703;1113514.28;1281984.45;1359818.16;1595253.96;421227.17;498115.72;555832.71;595895.59
7;2903409;3369505.19;;3586517.32;4119074.96;38096.88;;29323.32;16670.2
8;2411007;252755;;232972.58;454874.93;13516.37;;24418.69;27355.13
9;3111804;1984909.57;1228018.96;1858081.13;2148019.32;47178;;49024.43;34805.28
10;4211652;320771.01;987099.28;628571.12;418896.4;25143.49;33722.45;37937.31;51869.87
11;4209508;1305274.25;1300502.09;1435650.81;1554535.95;364096.16;193516.52;174530.41;288545.33
12;2926509;694139.42;522091.81;468352.51;;9247.6;8317.92;9932.69;
13;2202174;190488.78;234259.63;251929.96;131226.38;;;1938.4;665.69
14;4305959;893808.75;1087241.68;992443.05;1317966.44;198911.65;220868.84;245315.18;268819.7
15;4305835;231730.28;276925.39;327855.26;334950.81;52875.66;58396.8;56084.79;62394.47
16;2205516;90484.59;140583.18;76848.04;123893.48;;1655.6;3099.23;7537.28
17;4304671;1452036.5;;1673290.72;2081540.79;190163.92;;426895.85;563915.61
18;4313490;416105.93;543392.91;503197.35;636271.86;53014.76;98774.85;102007.15;120394.48
19;2201606;405202.02;485039.3;491146.73;237383.15;39237.99;71051.52;77927.31;89442.23
20;2928059;374256.66;407743.73;516303.05;635334.11;6209.7;8767.38;34542.34;26870.46
21;4312955;461928.49;410240.13;438877.07;557232.59;37561.86;41584.37;43971.63;48054.6
22;2205599;185899.53;164339.02;134427.35;60193.91;9002.42;3135.34;2032;567.02
23;4322608;20563005.8;29107737.87;28760313.05;23108433.7;5151975.75;10561206.08;12096064.8;6716121.99
24;4301008;5702977.38;5877250.18;8260650.87;7994208.04;1736442.05;1820655.78;1709979.08;1813169.87
25;4306304;651519.52;661934.67;712214.84;859019.51;216657.36;240538.72;263738.12;282856.85
26;4200507;727591.61;981435.33;809190.06;909488.82;88941.29;111482.05;110328.27;122090.15
27;4312153;875117.84;1104050.38;1079728.61;1593954.34;230143.58;438598.69;354494.62;376869.73
28;4305108;320939249.3;347185149.8;367387361.8;407547665.2;66582430.56;74258751.02;82705350.52;107133920.4
29;2201770;173776.1;208745.37;364100.18;122406.91;1480.12;7594.79;100;953.36
30;4207700;1308719.71;1336061.52;1437383.56;1631401.33;148551.5;152287.79;144375.47;164744.82
31;4315453;536672.43;616194.4;455669.26;609060.29;81098.14;90206.65;102911.37;108463
32;4116950;710903.91;970282.62;1068494.08;1275954.72;139629.48;167692.08;172940.3;210284.36
33;4200556;336952.18;477695.67;419458.89;588405.1;50770.9;54923.5;63366.54;75627.55
34;1100122;29087682.76;33650679.97;35432720.89;37711866.75;3162518.59;3582645.13;3663125.44;3833853.67
35;2912905;1012734.1;920163.57;984914.52;1006248.73;48800.52;46645.52;62716.64;50585.46
36;3556107;2637940.14;3090098.84;3193105.57;3566993.95;732817.25;918143.21;1066211.77;1176211.46
37;2202307;802693.89;744299.07;813101.01;631495.69;81440.62;55184.44;48948.71;64061.37
38;3506102;26912899.11;27665431.95;32741325.3;34033118.15;1795467.84;2036172.46;9231331.51;10245649.16
39;3553302;7544256.64;7863471.66;8789039.97;8111698.39;4023013.05;4286327.36;4432939.88;4820961.21
40;4313441;305440.91;340109.34;342609.61;414638.32;61054.57;66298.05;72183.51;81955.08
41;4322525;422350.56;511412.45;680785.29;644521.57;68593.41;63991.97;71323.37;85572.03
42;1505635;659849.78;655907.78;688547.62;659251.03;1238.01;382.86;407.35;4602.91
43;4312054;1327111.32;945893.47;1062460.36;1054630.87;188465.34;219487.55;231598.1;266588.07
44;4310702;481476.4;537657.07;573299.15;599515.77;106872.79;137292.17;149729.73;168771.26
45;4322558;254165.45;273112.25;312276.39;414322.62;53663.39;73823.94;74300.47;83238.98
46;2206050;193039.53;204095.06;181645.13;88131.17;587;323.54;6142.52;6182.56
47;5211909;45577507.81;54589450.75;55514657.87;54878522.28;6152975.09;10940961.92;12517034.93;12608630.5
48;4215687;222119.66;262572.31;319557.94;406961.98;13939.71;20259.58;28472.71;31403.66
49;4303558;487178.13;623000.31;587859.92;637686.06;119365.95;135745.32;150853.32;174425.52
50;2204303;596372.76;692839.97;648304.02;418833.1;2495.37;16202.15;18683.1;21852.9
51;4312674;441211.29;421287.38;447341.82;450040.2;57066.34;63577.41;79131.2;87343.1
52;3142809;4818962.9;4049490.12;4284806.65;4657817.57;491637.13;551663.01;622005.56;707186.64
53;4100459;419999.1;308559.35;342486.6;504724.54;74140.45;76641.19;77260.99;65090.21
54;3139904;962712.42;947356.03;1046459.72;1234902.6;144625.42;153576.01;193416.92;222577.63
55;2211308;1141517.78;1417369.52;1588746.5;770512.87;171556.38;434931.53;278414.79;185082.9
56;4317905;2984409.28;3319890.45;3243940.2;3710511.13;641592.44;696342.57;762651.71;868434.29
57;2209971;232162.08;195154.35;290463.89;111120.17;250;2843.35;6749.52;8935.96
58;4321451;8264619.95;10635770.66;11614519.35;12339977.37;1947022.42;2957319.63;3316818.09;3678731.63
59;2916906;615380.78;613006.15;660891.37;627119.59;20912.57;21879.99;28661.25;36784.66
60;2206753;86074.98;113796.85;129772.19;32144.87;250;1125.76;526.89;821.59
61;2208205;660972.3;479625.79;553850.93;466136.53;10738.41;6906.25;12482.5;27583.87
62;4316907;111594794.4;128854554.9;137203095.9;150081748.8;24086564.3;26391547.91;28506955.12;32973378.79
63;4202578;379360.92;444673.32;483840.97;622596.81;59326.01;76776.98;306638.29;70227.64
64;3543402;557051766;603793669.7;652766282.8;709626879.5;195590865.8;220961386.5;246109604.9;277646010.3
65;4109104;212955.54;254941.53;274428.24;293778.75;24086.63;51856.04;50825.69;68885.05
66;4309902;1338124.27;1472374.57;1489695.09;1845703.97;267820.68;259364.94;312881.89;342400.74
67;4125902;583171.93;507869.12;734092.83;1536795.17;102901.5;93740.64;95523.58;103273.91
